Review Title;Review Text;wordcount;titleSentiment;textSentiment;Star Rating;sentimentValue
Sin conexión;Hola desde hace algo más de un mes me pone sin conexión y no sale nada, antes me funcionaba correctamente.;0.21568627450980393;0.0;0.0;1;0.3230580040995061
faltan cosas;Han mejorado la apariencia pero no;0.18627450980392157;0.0;0.0;1;0.305047291092238
Es muy buena lo recomiendo;Andres e puto amoooo;0.029411764705882353;0.5;0.0;1;0.3021502212124817
Version antigua;Me gustana mas la version anterior esta es mas complicada de usar hay gente cambiandosevpor esevmotivo gracias;0.1568627450980392;0.5;0.0;1;0.2996180410299051
Esta bien;Sin ser la biblia.... Esta bien;0.049019607843137254;0.0;0.0;1;0.2932090732926619
Buena;Nada del otro mundo pero han mejorado mucho;0.06862745098039216;1.0;0.0;1;0.28081803644373526
De gran ayuda;Lo malo q necesita de …,pero la app es muy buena;0.21568627450980393;1.0;0.0;1;0.27966618147779027
Muy buena;Estaba más acostumbrado al otro diseño, pero es cosa de acostunbrarse .. la aplicación es escépcional;0.14705882352941177;1.0;0.0;1;0.2778715637681544
Ta to guapa.;Va de escándalo;0.19607843137254902;1.0;0.0;1;0.2727255636178183
Se han corregido;Han corregido muchos fallos pero el diseño es contrario al pedido por Google;0.11764705882352941;0.0;0.0;1;0.2668282081160656
Parece que va mejor.;No se cuelga tanto;0.029411764705882353;1.0;0.0;1;0.2604167186950826
Dice q hay una nueva versión?;Xq no me sale la opción de actualizarla entonces?;0.0784313725490196;0.0;0.0;1;0.25951816414419193
Útil;Falta opción;0.029411764705882353;1.0;0.0;1;0.2504779054583147
Me indica una nueva version;Dice que existe una nueva version, pero no sale actualizacion, e probado a borrarla y volver a instalarla, pero el mensaje sigue apareciendo;0.21568627450980393;0.0;0.0;1;0.22987943413860656
No me funciona;Mui buena pero a veces no acen;0.12745098039215685;0.0;0.0;1;0.21533829561156476
Hay que mejorar;No funcionan las notificaciones, y deberían… Por lo demás correcto;0.18627450980392157;1.0;0.0;1;0.21266001502205603
Muy bien ..pero;…;0.24509803921568626;0.0;0.0;1;0.21151239355359375
No va;Pero esta bloqueado y no me funciona;0.058823529411764705;1.0;0.0;1;0.21011296742348382
Bien;No es precisa del todo;0.0392156862745098;1.0;0.0;1;0.18066214319496526
Bastante bien;Muy útil, pero hay …;0.20588235294117646;1.0;0.0;1;0.1787495495361868
Muy buena idea;Aun faltan muchos;0.11764705882352941;1.0;0.0;1;0.1481361566920657
No remata...;En que se basa?...no termina de cuadrarme...;0.058823529411764705;0.0;0.0;1;0.1438421551152915
Note 3;Esta bien la aplicación pero se nota k....sin mas comentarios.;0.16666666666666666;0.0;0.0;1;0.14043616839588688
