error,iteration
0.525,0
0.52,1
0.49,2
0.3,3
0.52,4
0.445,5
0.44,6
0.44,7
0.44,8
0.38,9
0.27,10
0.33,11
0.46,12
0.285,13
0.365,14
0.405,15
0.275,16
0.33,17
0.33,18
0.33,19
0.485,20
0.49,21
0.26,22
0.345,23
0.315,24
0.31,25
0.31,26
0.465,27
0.465,28
0.465,29
0.44,30
0.435,31
0.365,32
0.225,33
0.27,34
0.325,35
0.325,36
0.32,37
0.125,38
0.475,39
0.475,40
0.475,41
0.475,42
0.445,43
0.475,44
0.475,45
0.475,46
0.475,47
0.475,48
0.475,49
0.475,50
0.1,51
0.3,52
0.14,53
0.095,54
0.27,55
0.265,56
0.26,57
0.255,58
0.13,59
0.37,60
0.37,61
0.37,62
0.365,63
0.23,64
0.15,65
0.23,66
0.21,67
0.125,68
0.335,69
0.33,70
0.325,71
0.325,72
0.32,73
0.32,74
0.32,75
0.32,76
0.23,77
0.23,78
0.23,79
0.055,80
0.045,81
0.145,82
0.445,83
0.45,84
0.08,85
0.235,86
0.14,87
0.14,88
0.2,89
0.18,90
0.145,91
0.2,92
0.13,93
0.15,94
0.15,95
0.255,96
0.255,97
0.13,98
0.22,99
0.21,100
0.205,101
0.205,102
0.17,103
0.09,104
0.09,105
0.21,106
0.205,107
0.205,108
0.205,109
0.205,110
0.135,111
0.135,112
0.125,113
0.125,114
0.125,115
0.225,116
0.155,117
0.075,118
0.2,119
0.195,120
0.105,121
0.105,122
0.07,123
0.105,124
0.085,125
0.035,126
0.135,127
0.135,128
0.025,129
0.025,130
0.0,131
