R,G,B,label
245,228,212,vaca
47,50,65,vaca
237,222,155,vaca
197,207,209,cielo
60,89,69,pasto
137,122,101,vaca
156,170,145,pasto
238,169,114,vaca
153,162,109,pasto
235,225,216,vaca
39,62,52,pasto
180,198,208,cielo
128,82,69,vaca
247,238,229,vaca
84,116,79,pasto
160,186,199,cielo
119,124,92,pasto
123,79,70,vaca
95,67,66,vaca
200,205,209,cielo
103,75,74,vaca
204,207,212,cielo
97,124,93,pasto
62,86,70,pasto
247,235,223,vaca
175,114,86,vaca
75,56,62,vaca
199,130,88,vaca
127,141,92,pasto
114,136,113,pasto
164,187,201,cielo
251,236,231,vaca
132,131,103,pasto
85,66,70,vaca
247,233,220,vaca
192,205,211,cielo
114,74,66,vaca
115,127,91,pasto
101,145,118,pasto
174,192,202,cielo
37,76,55,pasto
200,208,211,cielo
206,210,213,cielo
63,97,83,pasto
244,225,208,vaca
137,84,70,vaca
46,69,75,pasto
128,141,121,pasto
227,156,102,vaca
234,221,205,vaca
94,112,98,pasto
244,228,215,vaca
68,58,69,vaca
142,174,125,pasto
94,121,102,pasto
255,235,210,vaca
92,67,70,vaca
182,199,207,cielo
233,223,211,vaca
60,56,70,vaca
200,133,88,vaca
192,202,211,cielo
250,242,231,vaca
161,100,71,vaca
108,133,91,pasto
193,208,215,cielo
246,234,220,vaca
243,230,214,vaca
203,210,216,cielo
123,158,118,pasto
114,146,109,pasto
42,50,69,vaca
114,143,125,pasto
102,117,94,pasto
152,179,134,pasto
163,186,200,cielo
197,205,208,cielo
85,117,78,pasto
159,98,69,vaca
72,95,75,pasto
195,206,212,cielo
213,214,218,cielo
145,98,82,vaca
124,84,82,vaca
186,201,208,cielo
247,235,223,vaca
195,208,214,cielo
161,187,200,cielo
187,201,210,cielo
80,78,91,vaca
48,50,65,vaca
111,73,70,vaca
187,202,209,cielo
228,214,188,vaca
248,234,223,vaca
50,56,72,vaca
191,204,212,cielo
182,201,208,cielo
46,47,77,vaca
196,207,213,cielo
255,227,203,vaca
63,55,66,vaca
248,232,217,vaca
195,208,216,cielo
54,81,72,pasto
181,198,206,cielo
157,180,136,pasto
57,54,65,vaca
75,108,81,pasto
242,233,218,vaca
58,88,88,pasto
78,120,96,pasto
138,158,130,pasto
48,78,76,pasto
